,ds,yhat,yhat_lower,yhat_upper,y,cutoff
588,2022-12-02,28.582160817478933,-30.34253912102736,86.941068052658,15.94,2022-12-01
589,2022-12-03,22.069593788499535,-32.67426457639172,78.6793317788677,14.84,2022-12-02
590,2022-12-04,20.931373917970525,-42.585804926146615,76.6959372987861,14.34,2022-12-03
591,2022-12-05,26.591899564311735,-33.42345719797106,83.37540470783051,17.8,2022-12-04
592,2022-12-06,27.702944089232755,-30.508332693003336,85.02835382330301,18.9,2022-12-05
593,2022-12-07,29.525984066665384,-30.096927586208306,88.24157591186001,21.69,2022-12-06
594,2022-12-08,30.697390272904435,-27.93166104485102,88.80102607275242,19.29,2022-12-07
595,2022-12-09,25.01267342174237,-36.03899312984058,82.1644262377001,42.48,2022-12-08
596,2022-12-10,17.943469516799187,-39.10716727771113,77.04784848702367,19.15,2022-12-09
597,2022-12-11,16.880408826593715,-42.851688687835285,74.99670534578605,21.17,2022-12-10
598,2022-12-12,22.216762413862785,-37.638928101149475,79.29802556254579,20.84,2022-12-11
599,2022-12-13,22.385164945197555,-36.47812040074946,76.90065546656146,22.37,2022-12-12
600,2022-12-14,23.806432230903052,-35.68541801322827,80.85456926200018,19.71,2022-12-13
601,2022-12-15,25.50326595594954,-33.23824804178724,82.79860832693883,21.17,2022-12-14
602,2022-12-16,21.02470215757572,-37.06264554042663,77.78913195253867,22.8,2022-12-15
603,2022-12-17,13.85118078359593,-49.73016136980852,69.38637048803437,17.19,2022-12-16
604,2022-12-18,12.056213224032485,-51.279895279307134,74.409549820486,16.86,2022-12-17
605,2022-12-19,18.310526657872433,-44.71709963715844,76.26068472009823,17.9,2022-12-18
606,2022-12-20,20.294785301505723,-36.65977606527457,74.40202505800644,19.84,2022-12-19
607,2022-12-21,22.392813717771617,-36.506170126203585,81.80496169588842,19.61,2022-12-20
608,2022-12-22,24.080095375301614,-36.841056449898005,82.74963620723672,18.21,2022-12-21
609,2022-12-23,19.027676128071885,-40.535688012431116,80.80890863667291,16.61,2022-12-22
610,2022-12-24,14.412050483364705,-47.67276439143012,75.528220021064,13.95,2022-12-23
611,2022-12-25,12.984065198313207,-45.743060174546024,71.1919069848224,13.67,2022-12-24
612,2022-12-26,20.405551733337063,-40.105691337802725,79.2053438605221,14.72,2022-12-25
613,2022-12-27,22.341586695951086,-34.79782747477121,82.98898400252698,18.56,2022-12-26
614,2022-12-28,25.255763017181984,-35.255812106814794,81.8055170759766,19.63,2022-12-27
615,2022-12-29,28.75561178456395,-29.422562085249922,86.48239980893959,20.06,2022-12-28
616,2022-12-30,24.425360584592582,-37.779237461450656,80.14318702498856,20.56,2022-12-29
617,2022-12-31,19.732110824907792,-39.043442794702564,73.85847077727534,19.59,2022-12-30
618,2023-01-01,19.365359684709535,-38.923672267542784,79.63027080000049,18.04,2022-12-31
619,2023-01-02,27.211450844205793,-31.49024117778625,84.6624442180664,20.59,2023-01-01
620,2023-01-03,29.284574960399382,-30.936214127230787,90.50338385784806,22.27,2023-01-02
621,2023-01-04,32.38871564975531,-25.57962067314968,89.3218039568779,29.51,2023-01-03
